Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
ADR1,~,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,44.35,23.6,90,top
ADR2,~,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,41.65,23.6,90,top
C1,470nf,C_0603_1608Metric,29.65,25.1,90,top
C2,10u,C_0805_2012Metric,23.8,18.35,180,top
C3,470nf,C_0603_1608Metric,34.255,24.8,180,top
C4,470nf,C_0603_1608Metric,34.25,26.45,180,top
C5,470nf,C_0603_1608Metric,24.075,21.45,180,top
C6,100n,C_0603_1608Metric,17.91,16.2,-90,top
C7,100n,C_0603_1608Metric,11.21,20.22,0,top
C8,100n,C_0603_1608Metric,58.275,27.98,-90,top
C9,100n,C_0603_1608Metric,50.1,32.9,90,top
C10,100n,C_0603_1608Metric,52.95,32.9,90,top
C11,10n,C_0603_1608Metric,58.325,24.85,-90,top
C12,10n,C_0603_1608Metric,58.325,31.15,-90,top
C13,100n,C_0603_1608Metric,50.226694,14.021386,90,top
C14,100n,C_0603_1608Metric,53.3,13.921386,90,top
C15,10n,C_0603_1608Metric,58.026694,12.25,-90,top
C16,100n,C_0603_1608Metric,58.075,9.05,-90,top
C17,10n,C_0603_1608Metric,58.026694,5.821386,-90,top
C18,3.3n,C_0603_1608Metric,60.325,20.525,-90,top
C19,3.3n,C_0603_1608Metric,60.3,17.35,-90,top
C20,10u,C_0805_2012Metric,17,9,180,top
C21,10u,C_0805_2012Metric,11.56,5.38,90,top
C22,470nf,C_0603_1608Metric,17.25,3.25,180,top
C23,470nf,C_0603_1608Metric,9.9,25.025,-90,top
C24,470nf,C_0603_1608Metric,8.2,25.025,-90,top
C25,10u,C_0805_2012Metric,12.25,31.05,90,top
C26,470nf,C_0603_1608Metric,16.7,28.98,180,top
C27,10u,C_0805_2012Metric,18.15,35,180,top
C28,20p,C_0603_1608Metric,22.2,11.2,-90,top
C29,20p,C_0603_1608Metric,28,10.675,90,top
C30,100n,C_0603_1608Metric,42.3,3.51,-90,top
C31,100n,C_0603_1608Metric,42.4,6.02,0,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,9.7,34.62,0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,2.91,9.49,0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,61.61,2.54,0,top
FID4,Fiducial,Fiducial_1mm_Mask2mm,60.77,35.1,0,top
J1,Conn_01x04_Pin,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4.51,21.21,-90,top
J2,Screw_Terminal_01x08,TerminalBlock_Xinya_XY308-2.54-8P_1x08_P2.54mm_Horizontal,67,27.8,-90,top
J3,Conn_ARM_SWD_TagConnect_TC2030,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,37.05,31.6,-90,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,29.49,33.45,-90,top
MH1,M3,MountingHole_3.2mm_M3_Pad_Via,4.4,4.4,0,top
MH2,M3,MountingHole_3.2mm_M3_Pad_Via,4.4,33.6,0,top
MH3,M3,MountingHole_3.2mm_M3_Pad_Via,67,33.6,0,top
MH4,M3,MountingHole_3.2mm_M3_Pad_Via,67,4.4,0,top
R1,0R,R_0603_1608Metric,37.405,26.45,0,top
R2,5k1,R_0603_1608Metric,24.1,23.1,0,top
R3,100k,R_0603_1608Metric,24.05,16.55,0,top
R4,5k1,R_0603_1608Metric,10.81,12.62,0,top
R5,100,R_0603_1608Metric,60.925,28.75,0,top
R6,100,R_0603_1608Metric,60.925,27.05,0,top
R7,10k,R_0603_1608Metric,45.4,31.15,-90,top
R8,10k,R_0603_1608Metric,47.15,11.7,-90,top
R9,100,R_0603_1608Metric,60.675,9.85,0,top
R10,100,R_0603_1608Metric,60.675,8.1,0,top
R11,150,R_0603_1608Metric,58.625,20.5,-90,top
R12,100,R_0603_1608Metric,56.25,19.75,0,top
R13,100,R_0603_1608Metric,56.25,16.55,0,top
R14,150,R_0603_1608Metric,58.65,17.35,-90,top
R15,0R,R_0603_1608Metric,9.02,27.345,0,top
R16,0R,R_0603_1608Metric,34.625,11.05,0,top
R17,0R,R_0603_1608Metric,34.65,9.4,0,top
R18,0R,R_0603_1608Metric,42.85,17.05,0,top
R19,10k,R_0603_1608Metric,36.1,2.975,90,top
R20,10k,R_0603_1608Metric,33.9,7.05,90,top
R21,120,R_0603_1608Metric,7.85,16.19,90,top
U1,MSPM0G3507SPTR,PT0048A-IPC_A,33.249999,17.775483,0,top
U2,MCP2562-H-SN,SOIC-8_3.9x4.9mm_P1.27mm,12.875,16.365,180,top
U3,MAX31856MUD+,TSSOP-14_4.4x5mm_P0.65mm,51.7,28.5,180,top
U4,MAX31856MUD+,TSSOP-14_4.4x5mm_P0.65mm,51.926694,9.521386,180,top
U5,SPX3819M5-L-5-0,SOT-23-5,15.485,5.965,0,top
U6,SPX3819M5-L-3-3,SOT-23-5,16.3625,32.05,0,top
U7,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,38.925,4.775,-90,top
X1,8M,Crystal_SMD_3225-4Pin_3.2x2.5mm,25.2,11,-90,top
